,E_CS_v,P_A_M_v,SS_v,LS_ES_v
0,IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION,ADVANCES IN DIFFERENCE EQUATIONS,COMPUTERS & EDUCATION,NATURE
1,ADVANCED MATERIALS,JOURNAL OF INEQUALITIES AND APPLICATIONS,JOURNAL OF BUSINESS ETHICS,SCIENCE
2,INTERNATIONAL CONFERENCE ON LEARNING REPRESENTATIONS,JOURNAL FÃœR DIE REINE UND ANGEWANDTE MATHEMATIK (CRELLES JOURNAL),NATURE HUMAN BEHAVIOUR,NATURE COMMUNICATIONS
3,NEURAL INFORMATION PROCESSING SYSTEMS,NONLINEAR ANALYSIS,RESEARCH POLICY,CELL
4,IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION,FILOMAT,SOCIAL SCIENCE & MEDICINE,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES
5,INTERNATIONAL CONFERENCE ON MACHINE LEARNING,DISCRETE APPLIED MATHEMATICS,NEW MEDIA & SOCIETY,NUCLEIC ACIDS RESEARCH
6,RENEWABLE AND SUSTAINABLE ENERGY REVIEWS,BOUNDARY VALUE PROBLEMS,GLOBAL ENVIRONMENTAL CHANGE,SCIENCE OF THE TOTAL ENVIRONMENT
7,ADVANCED ENERGY MATERIALS,JOURNAL OF NONLINEAR SCIENCES & APPLICATIONS (JNSA),AMERICAN JOURNAL OF PUBLIC HEALTH,SCIENTIFIC REPORTS
8,ACS NANO,JOURNAL OF FUNCTION SPACES,ENERGY RESEARCH & SOCIAL SCIENCE,PLOS ONE
9,JOURNAL OF CLEANER PRODUCTION,DISCRETE MATHEMATICS,TEACHING AND TEACHER EDUCATION,SCIENCE ADVANCES
